State,Percentage,Date
Puebla,4.67189031,2020/09/01
Puebla,6.00336202,2020/12/01
Puebla,3.4571,2021/03/01
Puebla,3.9681,2021/06/01
Puebla,4.2224,2021/09/01
Puebla,3.84522669,2021/12/01
Puebla,3.0714,2022/03/01
Puebla,2.96205287,2022/06/01
Puebla,2.73089755,2022/09/01
Puebla,2.79282439,2022/12/01
Puebla,2.15020008,2023/03/01
Puebla,2.24190566,2023/06/01
Puebla,2.63941318,2023/09/01
Querétaro,3.49575513,2020/03/01
Querétaro,6.048082628,2020/06/01
Querétaro,8.21834876,2020/09/01
Querétaro,6.91008637,2020/12/01
Querétaro,4.9446,2021/03/01
Querétaro,5.7641,2021/06/01
Querétaro,5.4068,2021/09/01
Querétaro,5.74907947,2021/12/01
Querétaro,3.6242,2022/03/01
Querétaro,4.28470286,2022/06/01
Querétaro,3.81932688,2022/09/01
Querétaro,3.62621647,2022/12/01
Querétaro,2.48381131,2023/03/01
Querétaro,3.27317369,2023/06/01
Querétaro,2.91510315,2023/09/01
Quintana Roo,2.9633595,2020/03/01
Quintana Roo,4.817131895,2020/06/01
Quintana Roo,10.17037757,2020/09/01
Quintana Roo,8.57635621,2020/12/01
Quintana Roo,8.2081,2021/03/01
Quintana Roo,6.2089,2021/06/01
Quintana Roo,4.6836,2021/09/01
Quintana Roo,4.41379325,2021/12/01
Quintana Roo,3.0102,2022/03/01
Quintana Roo,2.85172706,2022/06/01
Quintana Roo,2.9265971,2022/09/01
Quintana Roo,1.97189348,2022/12/01
Quintana Roo,2.53063984,2023/03/01
Quintana Roo,2.40181981,2023/06/01
Quintana Roo,2.74015944,2023/09/01
San Luis Potosí,2.07787133,2020/03/01
San Luis Potosí,3.543906864,2020/06/01
San Luis Potosí,3.98295916,2020/09/01
San Luis Potosí,3.2654604,2020/12/01
San Luis Potosí,3.0867,2021/03/01
San Luis Potosí,2.9163,2021/06/01
San Luis Potosí,4.197,2021/09/01
San Luis Potosí,3.32407909,2021/12/01
San Luis Potosí,2.945,2022/03/01
San Luis Potosí,3.30135346,2022/06/01
San Luis Potosí,3.37770619,2022/09/01
San Luis Potosí,2.71251061,2022/12/01
San Luis Potosí,2.00481897,2023/03/01
San Luis Potosí,2.81226611,2023/06/01
San Luis Potosí,3.06639891,2023/09/01
Sinaloa,2.88295166,2020/03/01
Sinaloa,4.233147741,2020/06/01
Sinaloa,5.28873428,2020/09/01
Sinaloa,2.42904974,2020/12/01
Sinaloa,2.4647,2021/03/01
Sinaloa,2.5695,2021/06/01
Sinaloa,2.9333,2021/09/01
Sinaloa,2.74095177,2021/12/01
Sinaloa,2.6595,2022/03/01
Sinaloa,2.94486557,2022/06/01
Sinaloa,3.33011344,2022/09/01
Sinaloa,2.78627805,2022/12/01
Sinaloa,2.00870073,2023/03/01
Sinaloa,2.22653488,2023/06/01
Sinaloa,3.0103225,2023/09/01
Sonora,4.3705438,2020/03/01
Sonora,5.372948326,2020/06/01
Sonora,6.68779651,2020/09/01
Sonora,4.94429368,2020/12/01
Sonora,4.4453,2021/03/01
Sonora,2.9325,2021/06/01
Sonora,4.3504,2021/09/01
Sonora,3.60542512,2021/12/01
Sonora,2.857,2022/03/01
Sonora,3.06691953,2022/06/01
Sonora,3.81533691,2022/09/01
Sonora,2.5478531,2022/12/01
Sonora,2.86232559,2023/03/01
Sonora,2.58870408,2023/06/01
Sonora,2.93751345,2023/09/01
Tabasco,5.26960737,2020/03/01
Tabasco,8.56401081,2020/06/01
Tabasco,7.4512187,2020/09/01
Tabasco,7.96062557,2020/12/01
Tabasco,6.0159,2021/03/01
Tabasco,5.8533,2021/06/01
Tabasco,6.3133,2021/09/01
Tabasco,5.10219921,2021/12/01
Tabasco,4.7906,2022/03/01
Tabasco,5.67371547,2022/06/01
Tabasco,5.2553575,2022/09/01
Tabasco,4.18141847,2022/12/01
Tabasco,3.82906956,2023/03/01
Tabasco,4.05393331,2023/06/01
Tabasco,3.98275201,2023/09/01
Tamaulipas,3.18923694,2020/03/01
Tamaulipas,4.476647093,2020/06/01
Tamaulipas,3.78680617,2020/09/01
Tamaulipas,3.29395449,2020/12/01
Tamaulipas,3.8391,2021/03/01
Tamaulipas,2.9788,2021/06/01
Tamaulipas,3.6738,2021/09/01
Tamaulipas,3.55174812,2021/12/01
Tamaulipas,3.7774,2022/03/01
Tamaulipas,3.40257747,2022/06/01
Tamaulipas,3.66340975,2022/09/01
Tamaulipas,3.12071579,2022/12/01
Tamaulipas,2.76848363,2023/03/01
Tamaulipas,3.15173856,2023/06/01
Tamaulipas,3.31719673,2023/09/01
Tlaxcala,4.02237714,2020/03/01
Tlaxcala,4.690509782,2020/06/01
Tlaxcala,6.42155659,2020/09/01
Tlaxcala,5.58101419,2020/12/01
Tlaxcala,5.8607,2021/03/01
Tlaxcala,5.0761,2021/06/01
Tlaxcala,5.4887,2021/09/01
Tlaxcala,4.42308835,2021/12/01
Tlaxcala,4.3862,2022/03/01
Tlaxcala,3.84878712,2022/06/01
Tlaxcala,3.77758131,2022/09/01
Tlaxcala,3.3307172,2022/12/01
Tlaxcala,3.24644488,2023/03/01
Tlaxcala,3.40586538,2023/06/01
Tlaxcala,3.68407131,2023/09/01
Veracruz de Ignacio de la Llave,2.68436627,2020/03/01
Veracruz de Ignacio de la Llave,5.60615064,2020/06/01
Veracruz de Ignacio de la Llave,2.75095745,2020/09/01
Veracruz de Ignacio de la Llave,3.36439019,2020/12/01
Veracruz de Ignacio de la Llave,2.5878,2021/03/01
Veracruz de Ignacio de la Llave,4.2138,2021/06/01
Veracruz de Ignacio de la Llave,3.4126,2021/09/01
Veracruz de Ignacio de la Llave,3.30172536,2021/12/01
Veracruz de Ignacio de la Llave,2.5969,2022/03/01
